ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_21_P0000642	0.0174	0.00000273	2.06e+01	5.00571391	2.81e-01	LOC387723	
A_23_P115161	0.0174	0.00000387	1.93e+01	4.78660577	4.03e-01	DARC	ENST00000435307
A_23_P339818	0.0174	0.00000517	1.83e+01	4.59487057	3.31e-01	ARRDC4	ENST00000268042
A_23_P170491	0.0174	0.00000626	1.76e+01	4.46352013	1.83e-01	TRAIP	ENST00000491060
A_33_P3368771	0.0174	0.00000667	1.74e+01	4.41895767	3.13e-01	H1FX-AS1	ENST00000511998
A_23_P304897	0.0174	0.00000919	-1.64e+01	4.1870231	-2.91e-01	BDKRB2	ENST00000554311
A_23_P301942	0.0174	0.00001016	-1.61e+01	4.1126193	-2.06e-01	NPPC	ENST00000295440
A_33_P3243887	0.0174	0.00001107	-1.58e+01	4.04753081	-2.01e-01	IL11	ENST00000264563
A_33_P3356210	0.0174	0.00001145	-1.57e+01	4.02208793	-1.88e-01	B7H6	
A_23_P141142	0.0174	0.00001163	1.57e+01	4.00977489	2.22e-01	QRICH2	ENST00000301613
A_23_P92999	0.0174	0.00001198	1.56e+01	3.98727667	2.49e-01	CDH9	ENST00000505020
A_23_P79155	0.0174	0.00001224	1.55e+01	3.97084169	2.62e-01	GPR39	ENST00000470071
A_33_P3295538	0.0174	0.00001229	1.55e+01	3.96771625	1.88e-01	AMIGO3	ENST00000480687
A_24_P218814	0.0174	0.00001266	1.54e+01	3.94513923	2.11e-01	RDH5	ENST00000548123
A_33_P3263432	0.0174	0.00001267	1.54e+01	3.9442501	3.04e-01	ITGA10	ENST00000543043
A_33_P3345309	0.0174	0.00001467	-1.50e+01	3.82997455	-2.61e-01	PRSS56	
A_23_P111361	0.0174	0.00001474	-1.50e+01	3.82649401	-2.03e-01	PPIL6	ENST00000521072
A_23_P78944	0.0174	0.00001507	1.49e+01	3.80898173	3.36e-01	AMH	ENST00000221496
A_32_P74409	0.0174	0.00001519	-1.49e+01	3.80260663	-1.73e-01	C11orf96	ENST00000528572
A_23_P97700	0.0179	0.00001647	1.47e+01	3.7384173	2.85e-01	TXNIP	ENST00000475171
A_33_P3306898	0.0186	0.00002106	1.40e+01	3.53925658	2.45e-01	C11orf41	ENST00000389726
A_24_P243749	0.0186	0.00002145	-1.39e+01	3.52431546	-2.16e-01	PDK4	ENST00000542888
A_23_P116414	0.0186	0.00002228	-1.38e+01	3.49296834	-2.50e-01	PLA2G16	ENST00000394613
A_24_P7584	0.0186	0.00002257	1.38e+01	3.48235097	2.88e-01	LY6G5C	ENST00000460141
A_23_P87310	0.0186	0.00002385	1.37e+01	3.43644633	1.90e-01	LMO1	ENST00000335790
A_33_P3257993	0.0186	0.00002541	1.35e+01	3.38364344	1.74e-01	RNF125	ENST00000217740
A_23_P410507	0.0186	0.00002559	1.35e+01	3.37766138	2.04e-01	PSPN	ENST00000245810
A_23_P54918	0.0186	0.00002628	-1.34e+01	3.35527524	-1.71e-01	LDHD	ENST00000300051
A_23_P118042	0.0186	0.00002682	-1.33e+01	3.33832237	-1.46e-01	LRRC36	ENST00000290940
A_32_P119248	0.0186	0.00002734	1.33e+01	3.32208365	1.69e-01	FOXD4	
A_21_P0006619	0.0186	0.00003096	1.30e+01	3.21625772	2.52e-01	XLOC_008662	
A_23_P16523	0.0186	0.00003104	-1.30e+01	3.21390214	-1.62e-01	GDF15	ENST00000252809
A_33_P3792489	0.0186	0.00003169	1.29e+01	3.19640391	2.69e-01		
A_24_P62783	0.0186	0.00003228	-1.29e+01	3.18049072	-3.62e-01	FABP3	ENST00000482018
A_23_P107775	0.0186	0.00003278	-1.28e+01	3.16716625	-2.20e-01	TMEM190	ENST00000291934
A_33_P3270623	0.0186	0.00003306	1.28e+01	3.15999617	1.49e-01	FAM181B	ENST00000329203
A_24_P257336	0.0186	0.00003329	1.28e+01	3.1539448	2.32e-01	POPDC2	ENST00000463323
A_19_P00322222	0.0186	0.00003511	1.27e+01	3.10778971	1.88e-01	FLJ16779	
A_23_P353667	0.0186	0.00003592	-1.26e+01	3.08810453	-3.07e-01	MIR7-3HG	
A_23_P116512	0.0186	0.00003719	-1.25e+01	3.05791457	-1.48e-01	PRR5L	
A_23_P135164	0.0186	0.00003742	-1.25e+01	3.05249591	-1.56e-01	UAP1L1	ENST00000474787
A_33_P3375809	0.0186	0.00003776	-1.25e+01	3.04470284	-2.10e-01	LOC729970	ENST00000438509
A_24_P96897	0.0186	0.00003954	1.24e+01	3.00445615	1.91e-01	SYT6	ENST00000393296
A_33_P3743432	0.0186	0.00004044	1.23e+01	2.98466033	4.25e-01	DEFA8P	
A_33_P3409939	0.0186	0.00004124	1.23e+01	2.96740412	2.38e-01	GNAT3	ENST00000398291
A_32_P407245	0.0186	0.00004147	1.23e+01	2.9625222	2.39e-01	DNAJC22	ENST00000549441
A_23_P217009	0.0186	0.00004168	1.23e+01	2.95809074	3.65e-01	C9orf24	
A_33_P3263938	0.0186	0.00004262	-1.22e+01	2.93842292	-1.66e-01	LCN15	ENST00000316144
A_23_P31064	0.0186	0.000043	-1.22e+01	2.93044592	-1.42e-01	MOXD1	ENST00000367963
A_33_P3407469	0.0186	0.00004322	-1.22e+01	2.92600638	-2.15e-01	MYH7B	
A_23_P203173	0.0186	0.00004787	-1.19e+01	2.83525151	-1.59e-01	IL10RA	ENST00000227752
A_23_P80718	0.0186	0.00004809	1.19e+01	2.83109684	1.44e-01	SYNPR	ENST00000478300
A_23_P252082	0.0186	0.0000485	-1.19e+01	2.82363206	-1.35e-01	TMEM176A	ENST00000484928
A_24_P396702	0.0186	0.00004862	-1.19e+01	2.82144181	-1.30e-01	CD302	
A_24_P11506	0.0186	0.00004927	1.19e+01	2.80960018	1.30e-01	KYNU	ENST00000460143
A_23_P218784	0.0186	0.00004962	1.19e+01	2.80318286	1.88e-01	DDX17	ENST00000432525
A_19_P00321316	0.0186	0.00004983	-1.18e+01	2.79932334	-1.85e-01	XLOC_003204	
A_23_P210482	0.0186	0.00005126	-1.18e+01	2.77410662	-1.24e-01	ADA	ENST00000464097
A_33_P3228564	0.0186	0.00005208	1.17e+01	2.75977351	1.33e-01	DOK3	ENST00000312943
A_21_P0006620	0.0186	0.00005252	-1.17e+01	2.75215421	-1.47e-01	XLOC_008667	
A_24_P942493	0.0186	0.00005262	-1.17e+01	2.75051017	-2.61e-01	WSCD1	ENST00000317744
A_33_P3404531	0.0186	0.00005296	-1.17e+01	2.74473751	-1.91e-01	ZCWPW1	ENST00000324725
A_24_P340066	0.0195	0.00005655	-1.16e+01	2.68545449	-1.47e-01	ELF4	ENST00000308167
A_23_P409623	0.0209	0.00006145	1.14e+01	2.61004482	1.46e-01	PPFIBP2	ENST00000532926
A_23_P140375	0.0212	0.00006367	1.13e+01	2.57766291	2.52e-01	NGB	ENST00000298352
A_33_P3361112	0.0212	0.00006441	1.13e+01	2.5670837	2.14e-01	ABCG8	ENST00000272286
A_23_P156739	0.0216	0.00006743	-1.12e+01	2.52509122	-1.22e-01	C6orf125	ENST00000374231
A_33_P3230219	0.0216	0.0000677	-1.12e+01	2.52138571	-1.22e-01	TMEM54	ENST00000373463
A_33_P3360917	0.0217	0.0000689	1.11e+01	2.50525932	1.71e-01	IPO9	ENST00000361565
A_33_P3235053	0.0227	0.00007305	-1.10e+01	2.45129092	-1.78e-01	TRIM47	ENST00000254816
A_33_P3217559	0.0228	0.00007667	-1.09e+01	2.40645796	-1.44e-01	DLK1	ENST00000331224
A_24_P299318	0.0228	0.00007694	1.09e+01	2.4032188	1.47e-01	FAM101B	ENST00000329099
A_21_P0014798	0.0228	0.00007735	-1.09e+01	2.3982739	-1.48e-01	LOC100128108	
A_33_P3591972	0.0228	0.00007795	1.09e+01	2.39110302	1.77e-01	GLYCTK	ENST00000473583
