ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_33_P3368771	0.027	0.00000124	2.32e+01	4.89182	3.59e-01	H1FX-AS1	ENST00000511998
A_23_P49155	0.0275	0.00000349	-1.91e+01	4.40803	-2.70e-01	CDH3	ENST00000264012
A_32_P219279	0.0275	0.00000419	-1.85e+01	4.311	-2.54e-01	ELFN2	ENST00000402918
A_23_P339818	0.0275	0.00000597	1.73e+01	4.11127	4.06e-01	ARRDC4	ENST00000268042
A_23_P97700	0.0275	0.00000633	1.71e+01	4.07753	3.28e-01	TXNIP	ENST00000475171
A_23_P304897	0.0403	0.00001238	-1.51e+01	3.65921	-2.56e-01	BDKRB2	ENST00000554311
A_21_P0000891	0.0403	0.00001415	1.47e+01	3.57038	1.66e-01	LOC100507495	
A_23_P115161	0.0403	0.00001975	1.38e+01	3.33968	2.41e-01	DARC	ENST00000435307
A_32_P74409	0.0403	0.00002333	-1.34e+01	3.22027	-1.63e-01	C11orf96	ENST00000528572
A_21_P0009495	0.0403	0.00002384	1.33e+01	3.20446	2.40e-01	XLOC_012709	
A_24_P342829	0.0403	0.00002444	-1.33e+01	3.18647	-2.03e-01	SLC16A14	ENST00000295190
A_24_P130363	0.0403	0.00002471	-1.32e+01	3.17845	-3.05e-01	C18orf1	
A_23_P135164	0.0403	0.00002721	-1.30e+01	3.10757	-2.01e-01	UAP1L1	ENST00000474787
A_23_P69586	0.0403	0.000031	-1.27e+01	3.01009	-2.55e-01	FAT1	ENST00000500085
A_23_P217009	0.0403	0.00003111	1.27e+01	3.00728	2.89e-01	C9orf24	
A_23_P53891	0.0403	0.00003192	1.26e+01	2.98801	1.93e-01	KLF5	ENST00000377687
A_33_P3269824	0.0403	0.00003412	1.25e+01	2.93719	3.18e-01	LRRC66	ENST00000343457
A_23_P3221	0.0403	0.0000386	-1.22e+01	2.84225	-1.70e-01	SQRDL	ENST00000260324
A_24_P336551	0.0403	0.00003887	-1.22e+01	2.83682	-1.58e-01	BGLAP	
A_23_P389391	0.0403	0.00003923	-1.21e+01	2.82977	-1.78e-01	SLC12A4	
A_23_P62999	0.0403	0.00003988	1.21e+01	2.81705	2.11e-01	EXTL1	ENST00000374280
A_23_P118042	0.0403	0.00004084	-1.20e+01	2.79844	-1.53e-01	LRRC36	ENST00000290940
A_23_P123454	0.041	0.0000447	1.18e+01	2.72754	1.43e-01	NUDT18	ENST00000521807
A_23_P301942	0.041	0.0000469	-1.17e+01	2.68942	-1.68e-01	NPPC	ENST00000295440
A_23_P203173	0.041	0.00004716	-1.17e+01	2.68505	-1.76e-01	IL10RA	ENST00000227752
A_19_P00322222	0.041	0.00004905	1.16e+01	2.6538	1.99e-01	FLJ16779	
A_23_P116512	0.0428	0.00005314	-1.15e+01	2.58956	-1.79e-01	PRR5L	
A_24_P419087	0.0429	0.00005526	1.14e+01	2.55806	1.72e-01	AVIL	ENST00000548843
A_33_P3263432	0.0471	0.00006493	1.10e+01	2.42635	2.78e-01	ITGA10	ENST00000543043
A_23_P9883	0.0471	0.00006618	-1.10e+01	2.41071	-1.61e-01	NLRP3	
A_33_P3290709	0.0471	0.00006788	-1.09e+01	2.38977	-3.10e-01	EGFL6	ENST00000361306
A_23_P120125	0.0471	0.00007052	-1.08e+01	2.35803	-1.67e-01	COLEC11	ENST00000382062
A_33_P3356210	0.0471	0.00007189	-1.08e+01	2.34208	-1.75e-01	B7H6	
A_33_P3318414	0.0471	0.00007532	-1.07e+01	2.30317	-2.26e-01	HMHA1	ENST00000313093
A_23_P169934	0.0471	0.00007875	-1.06e+01	2.26585	-1.71e-01	RILPL1	ENST00000376874
A_33_P3360917	0.0471	0.00007887	1.06e+01	2.26459	1.66e-01	IPO9	ENST00000361565
A_23_P116414	0.0471	0.00008015	-1.06e+01	2.25105	-1.93e-01	PLA2G16	ENST00000394613
A_33_P3345309	0.0481	0.0000842	-1.05e+01	2.20941	-2.79e-01	PRSS56	
A_23_P218784	0.0494	0.0000886	1.04e+01	2.1662	2.03e-01	DDX17	ENST00000432525
A_23_P36724	0.0512	0.00009519	-1.02e+01	2.10498	-2.20e-01	FBXL14	ENST00000339235
A_21_P0008579	0.0512	0.00009877	1.02e+01	2.07325	1.66e-01	XLOC_011513	
A_23_P156049	0.0512	0.00009888	-1.02e+01	2.07231	-1.36e-01	HEXB	ENST00000504459
A_33_P3792489	0.0513	0.0001018	1.01e+01	2.04723	2.26e-01		
A_23_P123086	0.0513	0.00010806	9.99	1.99567	2.29e-01	KIAA1908	
A_33_P3298850	0.0513	0.0001083	9.99	1.99373	1.36e-01	SLC16A8	ENST00000320521
A_23_P38041	0.0513	0.00011078	9.94	1.97407	1.17e-01	NAGPA	ENST00000381955
A_21_P0000876	0.0513	0.00011155	-9.93	1.96806	-2.06e-01	LOC100505894	
A_23_P348636	0.0513	0.00011341	9.90	1.95373	1.48e-01	FOXJ1	ENST00000322957
A_23_P141142	0.0513	0.00011761	9.83	1.92193	1.67e-01	QRICH2	ENST00000301613
A_23_P115726	0.0513	0.00011816	-9.82	1.91787	-1.30e-01	SLC16A9	ENST00000395348
A_21_P0005423	0.0523	0.00012272	-9.75	1.8847	-2.69e-01	XLOC_006229	ENST00000484322
A_23_P111361	0.0541	0.00012937	-9.65	1.83834	-1.40e-01	PPIL6	ENST00000521072
A_23_P89302	0.0562	0.00014216	-9.48	1.7549	-4.22e-01	CACNG1	ENST00000226021
A_33_P3376965	0.0562	0.00014299	9.46	1.74972	1.82e-01	CHAC1	ENST00000487220
A_33_P3395191	0.0562	0.00014664	-9.42	1.72732	-1.18e-01	KCNMB2	ENST00000358316
A_24_P398810	0.0562	0.00014713	9.41	1.72434	1.42e-01	EIF5	ENST00000216554
A_24_P10884	0.0562	0.00014853	9.40	1.71586	2.23e-01	GRAP2	ENST00000543252
A_33_P3320443	0.0562	0.00015023	-9.37	1.70576	-2.04e-01	CRHR1	
A_23_P30554	0.0562	0.00015248	-9.35	1.69243	-1.32e-01	KCNIP1	ENST00000520740
A_23_P306890	0.0568	0.00015724	-9.29	1.66495	-1.18e-01	POLI	ENST00000217800
A_33_P3221129	0.0568	0.00015938	9.27	1.6528	3.18e-01	LRRN4CL	ENST00000317449
A_19_P00320986	0.0582	0.00016616	9.19	1.61537	1.17e-01	LOC100506661	ENST00000380331
A_33_P3216433	0.0582	0.00017063	9.15	1.59142	1.03e-01	LOC147804	ENST00000424846
