ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_33_P3239579	0.165	0.0000115	-15.9858669	2.6207	-3.78e-01	LOC100131060	
A_23_P397933	0.165	0.0000215	-14.1704632	2.3625	-2.51e-01	MASP1	ENST00000337774
A_23_P89981	0.165	0.0000238	13.8892943	2.3159	2.66e-01	CYP2F1	ENST00000439903
A_21_P0001629	0.165	0.0000304	13.2414586	2.2004	2.61e-01	XLOC_001219	
A_23_P41713	0.219	0.0000659	-11.3829503	1.7938	-2.29e-01	FAM71B	ENST00000302938
A_33_P3333224	0.219	0.0000707	11.2239598	1.7529	2.35e-01	GLIS2	ENST00000262366
A_32_P79591	0.219	0.0000708	11.2235715	1.7528	2.58e-01	ZNF665	ENST00000396424
A_23_P432448	0.283	0.0001149	10.1994987	1.4606	1.85e-01	MGC3771	
A_23_P167328	0.283	0.0001346	9.8842912	1.3597	2.23e-01	CD38	ENST00000540195
A_33_P3410650	0.283	0.0001384	9.8299914	1.3417	2.13e-01	SPAG8	ENST00000471631
A_33_P3424507	0.283	0.0001434	9.761011	1.3186	1.25e-01	OR51F1	ENST00000380383
A_33_P3271684	0.322	0.0001784	-9.3448457	1.1732	-1.63e-01	TMEM236	ENST00000480516
A_33_P3390843	0.322	0.000193	-9.1990968	1.1196	-1.44e-01	LOC100130386	
A_33_P3416588	0.355	0.000229	8.8890222	1.0007	1.21e-01	RIT2	ENST00000282028
A_23_P212830	0.375	0.000259	-8.6718052	0.9134	-2.72e-01	FGFR3	ENST00000312875
A_23_P503200	0.4	0.000295	-8.4473683	0.8194	-1.21e-01	PHF10	ENST00000339209
A_23_P89780	0.408	0.0003225	-8.2964601	0.7539	-1.51e-01	LAMA3	
A_21_P0010918	0.408	0.0003384	-8.2160933	0.7183	-1.82e-01	PLD5	ENST00000450980
A_33_P3389713	0.422	0.0003693	-8.071853	0.653	-1.27e-01	OR5AR1	ENST00000302969
A_24_P194278	0.423	0.0003898	-7.983958	0.6123	-1.63e-01	BPIFA4P	
A_33_P3266564	0.465	0.00045	7.7536841	0.5025	1.78e-01	KRTAP5-6	ENST00000382160
A_24_P238499	0.468	0.000555	7.4276071	0.3386	9.62e-02	C18orf56	ENST00000323813
A_23_P25587	0.468	0.0005574	7.4211301	0.3352	1.75e-01	LECT1	ENST00000377962
A_23_P326157	0.468	0.0005622	7.4080676	0.3284	2.72e-01	GAL3ST2	ENST00000192314
A_21_P0000706	0.468	0.0005813	7.3573448	0.3019	3.04e-01	LOC100507582	
A_24_P340941	0.468	0.0005864	7.34417	0.295	1.48e-01	LOC100306975	
A_23_P166526	0.468	0.0006008	-7.3077046	0.2757	-2.06e-01	RIBC2	ENST00000538017
