ID	log2(fold change)	-log10(Pvalue)
A_19_P00322222	0.199	4.309
A_21_P0000891	0.166	4.849
A_21_P0009495	0.24	4.623
A_23_P115161	0.241	4.704
A_23_P116414	-0.193	4.096
A_23_P116512	-0.179	4.275
A_23_P118042	-0.153	4.389
A_23_P120125	-0.167	4.152
A_23_P123454	0.143	4.35
A_23_P135164	-0.201	4.565
A_23_P169934	-0.171	4.104
A_23_P203173	-0.176	4.326
A_23_P217009	0.289	4.507
A_23_P218784	0.203	4.053
A_23_P301942	-0.168	4.329
A_23_P304897	-0.256	4.907
A_23_P3221	-0.17	4.413
A_23_P339818	0.406	5.224
A_23_P389391	-0.178	4.406
A_23_P49155	-0.27	5.457
A_23_P53891	0.193	4.496
A_23_P62999	0.211	4.399
A_23_P69586	-0.255	4.509
A_23_P97700	0.328	5.199
A_23_P9883	-0.161	4.179
A_24_P130363	-0.305	4.607
A_24_P336551	-0.158	4.41
A_24_P342829	-0.203	4.612
A_24_P419087	0.172	4.258
A_32_P219279	-0.254	5.378
A_32_P74409	-0.163	4.632
A_33_P3263432	0.278	4.188
A_33_P3269824	0.318	4.467
A_33_P3290709	-0.31	4.168
A_33_P3318414	-0.226	4.123
A_33_P3345309	-0.279	4.075
A_33_P3356210	-0.175	4.143
A_33_P3360917	0.166	4.103
A_33_P3368771	0.359	5.905
